"측정일시","측정소 코드","측정항목 코드","평균값","측정기 상태","국가 기준초과 구분","지자체 기준초과 구분","저장일시"
"20250728230000","104","3","0.006","0","0","0","20250729000051"
"20250728230000","104","1","0.003","0","0","0","20250729000051"
"20250728230000","104","9","29.000","0","0","0","20250729000051"
"20250728230000","104","8","38.000","0","0","0","20250729000051"
"20250728230000","104","5","0.410","0","0","0","20250729000051"
"20250728230000","104","6","0.028","0","0","0","20250729000051"
"20250728230000","107","9","29.000","0","0","0","20250729000051"
"20250728230000","107","8","41.000","0","0","0","20250729000051"
"20250728230000","107","6","0.026","0","0","0","20250729000051"
"20250728230000","107","5","0.340","0","0","0","20250729000051"
"20250728230000","107","1","0.003","0","0","0","20250729000051"
"20250728230000","107","3","0.015","0","0","0","20250729000051"
"20250728230000","121","9","24.000","0","0","0","20250729000050"
"20250728230000","121","8","36.000","0","0","0","20250729000050"
"20250728230000","121","6","0.023","0","0","0","20250729000050"
"20250728230000","121","5","0.370","0","0","0","20250729000050"
"20250728230000","121","1","0.003","0","0","0","20250729000050"
"20250728230000","121","3","0.018","0","0","0","20250729000050"
"20250728230000","101","9","28.000","0","0","0","20250729000042"
"20250728230000","101","8","36.000","0","0","0","20250729000042"
"20250728230000","101","6","0.034","0","0","0","20250729000042"
"20250728230000","101","5","0.300","0","0","0","20250729000042"
"20250728230000","101","1","0.003","0","0","0","20250729000042"
"20250728230000","101","3","0.011","0","0","0","20250729000042"
"20250728230000","102","5","0.360","0","0","0","20250729000041"
"20250728230000","102","9","27.000","0","0","0","20250729000041"
"20250728230000","102","8","39.000","0","0","0","20250729000041"
"20250728230000","102","6","0.038","0","0","0","20250729000041"
"20250728230000","102","1","0.003","0","0","0","20250729000041"
"20250728230000","102","3","0.009","0","0","0","20250729000041"
"20250728230000","103","9","33.000","0","0","0","20250729000040"
"20250728230000","103","8","46.000","0","0","0","20250729000040"
"20250728230000","103","6","0.028","0","0","0","20250729000040"
"20250728230000","103","5","0.340","0","0","0","20250729000040"
"20250728230000","103","1","0.002","0","0","0","20250729000040"
"20250728230000","103","3","0.010","0","0","0","20250729000040"
"20250728230000","105","9","15.000","0","0","0","20250729000039"
"20250728230000","105","8","32.000","0","0","0","20250729000039"
"20250728230000","105","6","0.038","0","0","0","20250729000039"
"20250728230000","105","5","0.380","0","0","0","20250729000039"
"20250728230000","105","1","0.004","0","0","0","20250729000039"
"20250728230000","105","3","0.004","0","0","0","20250729000039"
"20250728230000","106","9","28.000","0","0","0","20250729000038"
"20250728230000","106","8","42.000","0","0","0","20250729000038"
"20250728230000","106","6","0.025","0","0","0","20250729000038"
"20250728230000","106","5","0.290","0","0","0","20250729000038"
"20250728230000","106","1","0.002","0","0","0","20250729000038"
"20250728230000","106","3","0.014","0","0","0","20250729000038"
"20250728230000","108","3","0.018","0","0","0","20250729000037"
"20250728230000","108","9","25.000","0","0","0","20250729000037"
"20250728230000","108","8","42.000","0","0","0","20250729000037"
"20250728230000","108","6","0.015","0","0","0","20250729000037"
"20250728230000","108","5","0.510","0","0","0","20250729000037"
"20250728230000","108","1","0.002","0","0","0","20250729000037"
"20250728230000","110","8","33.000","0","0","0","20250729000036"
"20250728230000","110","3","0.009","0","0","0","20250729000036"
"20250728230000","110","1","0.003","0","0","0","20250729000036"
"20250728230000","110","5","0.260","0","0","0","20250729000036"
"20250728230000","110","6","0.017","1","0","0","20250729000036"
"20250728230000","110","9","19.000","0","0","0","20250729000036"
"20250728230000","109","3","0.013","0","0","0","20250729000036"
"20250728230000","109","5","0.320","0","0","0","20250729000036"
"20250728230000","109","6","0.029","0","0","0","20250729000036"
"20250728230000","109","1","0.003","0","0","0","20250729000036"
"20250728230000","109","8","44.000","0","0","0","20250729000036"
"20250728230000","109","9","28.000","0","0","0","20250729000036"
"20250728230000","111","9","16.000","0","0","0","20250729000035"
"20250728230000","111","6","0.028","0","0","0","20250729000035"
"20250728230000","111","5","0.450","0","0","0","20250729000035"
"20250728230000","111","1","0.003","0","0","0","20250729000035"
"20250728230000","111","3","0.006","0","0","0","20250729000035"
"20250728230000","111","8","26.000","0","0","0","20250729000035"
"20250728230000","112","9","19.000","0","0","0","20250729000034"
"20250728230000","112","3","0.005","0","0","0","20250729000034"
"20250728230000","112","1","0.002","0","0","0","20250729000034"
"20250728230000","112","5","0.250","0","0","0","20250729000034"
"20250728230000","112","6","0.026","0","0","0","20250729000034"
"20250728230000","112","8","33.000","0","0","0","20250729000034"
"20250728230000","113","8","27.000","0","0","0","20250729000033"
"20250728230000","113","3","0.007","0","0","0","20250729000033"
"20250728230000","113","1","0.002","0","0","0","20250729000033"
"20250728230000","113","5","0.300","0","0","0","20250729000033"
"20250728230000","113","6","0.030","0","0","0","20250729000033"
"20250728230000","113","9","17.000","0","0","0","20250729000033"
"20250728230000","114","8","30.000","0","0","0","20250729000021"
"20250728230000","115","9","26.000","0","0","0","20250729000021"
"20250728230000","114","3","0.009","0","0","0","20250729000021"
"20250728230000","114","5","0.280","0","0","0","20250729000021"
"20250728230000","114","1","0.002","0","0","0","20250729000021"
"20250728230000","114","6","0.024","0","0","0","20250729000021"
"20250728230000","114","9","18.000","0","0","0","20250729000021"
"20250728230000","115","3","0.017","0","0","0","20250729000021"
"20250728230000","115","1","0.003","0","0","0","20250729000021"
"20250728230000","115","5","0.200","0","0","0","20250729000021"
"20250728230000","115","6","0.026","0","0","0","20250729000021"
"20250728230000","115","8","43.000","0","0","0","20250729000021"
"20250728230000","117","3","0.012","0","0","0","20250729000020"
"20250728230000","117","8","38.000","0","0","0","20250729000020"
"20250728230000","117","6","0.030","0","0","0","20250729000020"
"20250728230000","117","5","0.320","0","0","0","20250729000020"
"20250728230000","117","9","26.000","0","0","0","20250729000020"
"20250728230000","117","1","0.003","0","0","0","20250729000020"
"20250728230000","118","6","0.012","0","0","0","20250729000019"
"20250728230000","118","3","0.023","0","0","0","20250729000019"
"20250728230000","118","1","0.003","0","0","0","20250729000019"
"20250728230000","118","5","0.330","0","0","0","20250729000019"
"20250728230000","118","8","37.000","0","0","0","20250729000019"
"20250728230000","118","9","28.000","0","0","0","20250729000019"
"20250728230000","119","9","30.000","0","0","0","20250729000018"
"20250728230000","119","8","40.000","0","0","0","20250729000018"
"20250728230000","119","6","0.026","0","0","0","20250729000018"
"20250728230000","119","5","0.320","0","0","0","20250729000018"
"20250728230000","119","1","0.003","0","0","0","20250729000018"
"20250728230000","119","3","0.015","0","0","0","20250729000018"
"20250728230000","120","9","26.000","0","0","0","20250729000018"
"20250728230000","120","8","41.000","0","0","0","20250729000018"
"20250728230000","120","6","0.022","0","0","0","20250729000018"
"20250728230000","120","5","0.350","0","0","0","20250729000018"
"20250728230000","120","1","0.003","0","0","0","20250729000018"
"20250728230000","120","3","0.018","0","0","0","20250729000018"
"20250728230000","122","9","24.000","0","0","0","20250729000017"
"20250728230000","122","8","41.000","0","0","0","20250729000017"
"20250728230000","122","6","0.032","0","0","0","20250729000017"
"20250728230000","122","5","0.510","0","0","0","20250729000017"
"20250728230000","122","1","0.003","0","0","0","20250729000017"
"20250728230000","122","3","0.012","0","0","0","20250729000017"
"20250728230000","123","9","31.000","0","0","0","20250729000017"
"20250728230000","123","8","45.000","0","0","0","20250729000017"
"20250728230000","123","6","0.027","0","0","0","20250729000017"
"20250728230000","123","5","0.360","0","0","0","20250729000017"
"20250728230000","123","1","0.003","0","0","0","20250729000017"
"20250728230000","123","3","0.014","0","0","0","20250729000017"
"20250728230000","124","9","26.000","0","0","0","20250729000016"
"20250728230000","124","8","42.000","0","0","0","20250729000016"
"20250728230000","124","6","0.025","0","0","0","20250729000016"
"20250728230000","124","5","0.360","0","0","0","20250729000016"
"20250728230000","124","1","0.003","0","0","0","20250729000016"
"20250728230000","124","3","0.016","0","0","0","20250729000016"
"20250728230000","125","8","33.000","0","0","0","20250729000015"
"20250728230000","125","9","21.000","0","0","0","20250729000015"
"20250728230000","125","3","0.015","0","0","0","20250729000015"
"20250728230000","125","1","0.002","0","0","0","20250729000015"
"20250728230000","125","5","0.360","0","0","0","20250729000015"
"20250728230000","125","6","0.016","0","0","0","20250729000015"
"20250728230000","116","9","30.000","0","0","0","20250728235913"
"20250728230000","116","8","39.000","0","0","0","20250728235913"
"20250728230000","116","6","0.021","0","0","0","20250728235913"
"20250728230000","116","5","0.310","0","0","0","20250728235913"
"20250728230000","116","1","0.004","0","0","0","20250728235913"
"20250728230000","116","3","0.022","0","0","0","20250728235912"
"20250728220000","107","9","23.000","0","0","0","20250728230150"
"20250728220000","107","8","41.000","0","0","0","20250728230149"
"20250728220000","107","6","0.027","0","0","0","20250728230149"
"20250728220000","107","5","0.340","0","0","0","20250728230149"
"20250728220000","107","1","0.003","0","0","0","20250728230148"
"20250728220000","107","3","0.015","0","0","0","20250728230148"
"20250728220000","121","9","23.000","0","0","0","20250728230144"
"20250728220000","121","8","37.000","0","0","0","20250728230144"
"20250728220000","121","6","0.029","0","0","0","20250728230143"
"20250728220000","121","5","0.340","0","0","0","20250728230143"
"20250728220000","121","1","0.003","0","0","0","20250728230142"
"20250728220000","121","3","0.015","0","0","0","20250728230142"
"20250728220000","101","9","29.000","0","0","0","20250728230133"
"20250728220000","101","8","36.000","0","0","0","20250728230133"
"20250728220000","101","6","0.039","0","0","0","20250728230132"
"20250728220000","101","5","0.290","0","0","0","20250728230132"
"20250728220000","101","1","0.004","0","0","0","20250728230131"
"20250728220000","101","3","0.010","0","0","0","20250728230130"
"20250728220000","102","9","26.000","0","0","0","20250728230126"
"20250728220000","102","8","43.000","0","0","0","20250728230126"
"20250728220000","102","6","0.040","0","0","0","20250728230126"
"20250728220000","102","5","0.300","0","0","0","20250728230125"
"20250728220000","102","1","0.003","0","0","0","20250728230125"
"20250728220000","102","3","0.007","0","0","0","20250728230124"
"20250728220000","103","9","29.000","0","0","0","20250728230123"
"20250728220000","103","8","47.000","0","0","0","20250728230123"
"20250728220000","103","6","0.028","0","0","0","20250728230123"
"20250728220000","103","5","0.350","0","0","0","20250728230123"
"20250728220000","103","1","0.003","0","0","0","20250728230123"
"20250728220000","103","3","0.011","0","0","0","20250728230122"
"20250728220000","104","9","23.000","0","0","0","20250728230112"
"20250728220000","104","8","41.000","0","0","0","20250728230112"
"20250728220000","104","6","0.033","0","0","0","20250728230112"
"20250728220000","104","5","0.400","0","0","0","20250728230112"
"20250728220000","104","1","0.003","0","0","0","20250728230112"
"20250728220000","104","3","0.005","0","0","0","20250728230111"
"20250728220000","106","8","46.000","0","0","0","20250728230110"
"20250728220000","106","1","0.002","0","0","0","20250728230110"
"20250728220000","106","5","0.310","0","0","0","20250728230110"
"20250728220000","106","6","0.023","0","0","0","20250728230110"
"20250728220000","106","9","28.000","0","0","0","20250728230110"
"20250728220000","106","3","0.016","0","0","0","20250728230109"
"20250728220000","108","8","47.000","0","0","0","20250728230101"
"20250728220000","108","9","31.000","0","0","0","20250728230101"
"20250728220000","108","1","0.003","0","0","0","20250728230100"
"20250728220000","108","6","0.024","0","0","0","20250728230100"
"20250728220000","108","5","0.550","0","0","0","20250728230100"
"20250728220000","108","3","0.016","0","0","0","20250728230059"
"20250728220000","109","1","0.003","0","0","0","20250728230057"
"20250728220000","109","9","29.000","0","0","0","20250728230057"
"20250728220000","109","8","42.000","0","0","0","20250728230057"
"20250728220000","109","5","0.290","0","0","0","20250728230056"
"20250728220000","109","6","0.031","0","0","0","20250728230056"
"20250728220000","109","3","0.011","0","0","0","20250728230054"
"20250728220000","110","8","40.000","0","0","0","20250728230053"
"20250728220000","110","6","0.019","1","0","0","20250728230053"
"20250728220000","110","9","24.000","0","0","0","20250728230053"
"20250728220000","110","5","0.280","0","0","0","20250728230052"
"20250728220000","110","1","0.003","0","0","0","20250728230052"
"20250728220000","110","3","0.009","0","0","0","20250728230052"
"20250728220000","111","9","13.000","0","0","0","20250728230051"
"20250728220000","111","8","25.000","0","0","0","20250728230051"
"20250728220000","111","5","0.490","0","0","0","20250728230050"
"20250728220000","111","1","0.003","0","0","0","20250728230050"
"20250728220000","111","3","0.008","0","0","0","20250728230050"
"20250728220000","111","6","0.029","0","0","0","20250728230049"
"20250728220000","113","9","20.000","0","0","0","20250728230048"
"20250728220000","113","8","27.000","0","0","0","20250728230048"
"20250728220000","113","1","0.002","0","0","0","20250728230047"
"20250728220000","113","5","0.300","0","0","0","20250728230047"
"20250728220000","113","6","0.040","0","0","0","20250728230047"
"20250728220000","113","3","0.004","0","0","0","20250728230046"
"20250728220000","114","9","17.000","0","0","0","20250728230045"
"20250728220000","114","8","31.000","0","0","0","20250728230045"
"20250728220000","114","1","0.002","0","0","0","20250728230044"
"20250728220000","114","6","0.031","0","0","0","20250728230044"
"20250728220000","114","5","0.250","0","0","0","20250728230044"
"20250728220000","114","3","0.006","0","0","0","20250728230043"
"20250728220000","117","1","0.004","0","0","0","20250728230042"
"20250728220000","117","6","0.033","0","0","0","20250728230042"
"20250728220000","117","8","39.000","0","0","0","20250728230042"
"20250728220000","117","9","27.000","0","0","0","20250728230042"
"20250728220000","117","5","0.310","0","0","0","20250728230042"
"20250728220000","117","3","0.012","0","0","0","20250728230041"
"20250728220000","118","8","40.000","0","0","0","20250728230040"
"20250728220000","118","5","0.300","0","0","0","20250728230040"
"20250728220000","118","1","0.003","0","0","0","20250728230040"
"20250728220000","118","6","0.014","0","0","0","20250728230040"
"20250728220000","118","9","27.000","0","0","0","20250728230040"
"20250728220000","119","9","29.000","0","0","0","20250728230039"
"20250728220000","119","8","40.000","0","0","0","20250728230039"
"20250728220000","118","3","0.021","0","0","0","20250728230039"
"20250728220000","119","3","0.015","0","0","0","20250728230038"
"20250728220000","119","1","0.003","0","0","0","20250728230038"
"20250728220000","119","5","0.330","0","0","0","20250728230038"
"20250728220000","119","6","0.027","0","0","0","20250728230038"
"20250728220000","120","8","42.000","0","0","0","20250728230037"
"20250728220000","120","6","0.026","0","0","0","20250728230037"
"20250728220000","120","9","28.000","0","0","0","20250728230037"
"20250728220000","120","3","0.017","0","0","0","20250728230036"
"20250728220000","120","5","0.350","0","0","0","20250728230036"
"20250728220000","120","1","0.002","0","0","0","20250728230036"
"20250728220000","122","6","0.034","0","0","0","20250728230035"
"20250728220000","122","9","26.000","0","0","0","20250728230035"
"20250728220000","122","8","44.000","0","0","0","20250728230035"
"20250728220000","122","5","0.470","0","0","0","20250728230035"
"20250728220000","122","3","0.012","0","0","0","20250728230034"
"20250728220000","122","1","0.003","0","0","0","20250728230034"
"20250728220000","123","9","30.000","0","0","0","20250728230033"
"20250728220000","123","8","47.000","0","0","0","20250728230033"
"20250728220000","123","6","0.028","0","0","0","20250728230033"
"20250728220000","123","5","0.350","0","0","0","20250728230032"
"20250728220000","123","3","0.014","0","0","0","20250728230032"
"20250728220000","123","1","0.003","0","0","0","20250728230032"
"20250728220000","125","8","31.000","0","0","0","20250728230031"
"20250728220000","125","9","28.000","0","0","0","20250728230031"
"20250728220000","125","3","0.012","0","0","0","20250728230030"
"20250728220000","125","1","0.002","0","0","0","20250728230030"
"20250728220000","125","5","0.380","0","0","0","20250728230030"
"20250728220000","125","6","0.024","0","0","0","20250728230029"
"20250728220000","105","5","0.370","0","0","0","20250728230012"
"20250728220000","105","9","19.000","0","0","0","20250728230012"
"20250728220000","105","8","33.000","0","0","0","20250728230012"
"20250728220000","105","6","0.044","0","0","0","20250728230012"
"20250728220000","105","1","0.004","0","0","0","20250728230011"
"20250728220000","105","3","0.003","0","0","0","20250728230011"
"20250728220000","112","9","17.000","0","0","0","20250728230010"
"20250728220000","112","8","34.000","0","0","0","20250728230010"
"20250728220000","112","6","0.031","0","0","0","20250728230010"
"20250728220000","112","5","0.270","0","0","0","20250728230010"
"20250728220000","112","1","0.002","0","0","0","20250728230010"
"20250728220000","112","3","0.005","0","0","0","20250728230009"
"20250728220000","115","9","25.000","0","0","0","20250728230008"
"20250728220000","115","8","44.000","0","0","0","20250728230008"
"20250728220000","115","6","0.030","0","0","0","20250728230008"
"20250728220000","115","5","0.190","0","0","0","20250728230008"
"20250728220000","115","1","0.003","0","0","0","20250728230008"
"20250728220000","115","3","0.017","0","0","0","20250728230008"
"20250728220000","124","9","21.000","0","0","0","20250728230007"
"20250728220000","124","8","44.000","0","0","0","20250728230007"
"20250728220000","124","6","0.026","0","0","0","20250728230007"
"20250728220000","124","5","0.360","0","0","0","20250728230007"
"20250728220000","124","1","0.003","0","0","0","20250728230007"
"20250728220000","124","3","0.016","0","0","0","20250728230007"
"20250728220000","116","9","30.000","0","0","0","20250728225909"
"20250728220000","116","8","37.000","0","0","0","20250728225909"
"20250728220000","116","3","0.020","0","0","0","20250728225909"
"20250728220000","116","1","0.003","0","0","0","20250728225909"
"20250728220000","116","5","0.330","0","0","0","20250728225909"
"20250728220000","116","6","0.026","0","0","0","20250728225909"